price,date_sold,suburb,num_bath,num_bed,num_parking,property_size,type,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd,region,population_(rounded)*,postcode,ethnic_breakdown_2016,median_house_price_(2020),median_house_price_(2021),%_change,median_house_rent_(per_week),median_apartment_price_(2020),median_apartment_rent_(per_week),public_housing_%,avg._years_held,time_to_cbd_(public_transport)_[town_hall_st],time_to_cbd_(driving)_[town_hall_st],nearest_train_station,highlights/attractions,ideal_for,traffic,public_transport,affordability_(rental),affordability_(buying),nature,noise,things_to_see/do,family-friendliness,pet_friendliness,safety,overall_rating,review_link
2000000,2016-01-29,Greenhills Beach,4,5,5,669,House,792,59592,0.539,-34.03624,151.1585,6,2.0,150.9,19.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936000,2016-01-29,North Rocks,1,3,1,710,House,7965,40092,5.462,-33.77572,151.01474,92,2.0,150.9,20.61,Hills Shire,"8,000",2151.0,"English 20.1%, Australian 19.4%, Chinese 14.9%, Irish 6.8%, Scottish 5.5%","$1,250,000.00","$1,500,000.00",20.00%,$590.00,"$605,000.00",$495.00,0%,17.1,60 minutes,35 minutes,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1500000,2016-01-30,North Rocks,4,5,3,987,House,7965,40092,5.462,-33.77572,151.01474,92,2.0,150.9,20.61,Hills Shire,"8,000",2151.0,"English 20.1%, Australian 19.4%, Chinese 14.9%, Irish 6.8%, Scottish 5.5%","$1,250,000.00","$1,500,000.00",20.00%,$590.00,"$605,000.00",$495.00,0%,17.1,60 minutes,35 minutes,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
712000,2016-01-30,Bass Hill,1,3,3,758,House,9069,24388,2.929,-33.90028,150.99309,40,2.0,150.9,20.43,Western Suburbs,"9,250",2197.0,"Lebanese 20.9%, Australian 13.5%, English 11.0%, Vietnamese 7.9%, Italian 4.3%","$790,000.00","$900,000.00",13.92%,$570.00,,$470.00,12%,14.3,70 minutes,40 minutes,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
646000,2016-01-30,North Avoca,1,1,2,601,House,2200,45084,1.497,-33.45608,151.43598,18,2.0,150.9,49.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180000,2016-01-31,North Rocks,3,4,2,720,House,7965,40092,5.462,-33.77572,151.01474,92,2.0,150.9,20.61,Hills Shire,"8,000",2151.0,"English 20.1%, Australian 19.4%, Chinese 14.9%, Irish 6.8%, Scottish 5.5%","$1,250,000.00","$1,500,000.00",20.00%,$590.00,"$605,000.00",$495.00,0%,17.1,60 minutes,35 minutes,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1930000,2016-02-13,Croydon,3,4,4,506,House,10612,34996,2.435,-33.88062,151.1169,28,2.0,150.9,8.77,Inner West,"11,000",2132.0,"Chinese 16.6%, English 14.4%, Australian 14.0%, Italian 8.2%, Irish 7.3%","$1,400,000.00","$1,800,000.00",28.57%,$690.00,"$710,000.00",$480.00,3%,17.0,22,20,Croydon,"Wangal Park, boutique cafes & dining","Families, small families, retirees",4.0,6.0,6.0,4.0,6.0,6.0,6.0,10.0,9.0,9.0,6.6,https://sydneysuburbreviews.com/croydon
1670000,2016-02-13,Elanora Heights,2,4,2,800,House,4357,44460,3.877,-33.70172,151.27318,105,2.0,150.9,19.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000,2016-02-13,Leichhardt,1,4,0,177,House,14625,56784,2.595,-33.88143,151.15595,31,2.0,150.9,5.31,Inner West,"15,000",2040.0,"English 23.1%, Australian 18.3%, Irish 10.6%, Italian 7.2%, Scottish 6.9%","$1,450,000.00","$1,800,000.00",24.14%,$770.00,"$875,000.00",$560.00,3%,12.2,25,15,Leichhardt North (light rail),"Pioneers Memorial Park, Italian dining, historic architecture","Young professionals, professionals, small families",3.0,6.0,5.0,5.0,6.0,3.0,9.0,7.0,7.0,7.0,5.8,https://sydneysuburbreviews.com/leichhardt
850000,2016-02-13,Chittaway Bay,3,4,4,695,House,2028,31668,1.116,-33.32678,151.44557,3,2.0,150.9,63.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
